action_id	action_number	action_params	session_id	subsession_id	action_type	creation_time	parent_display_id	child_display_id	session_id.1	user_id	project_id	curr_display_id	size	solution
1		"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1		group	2016-08-14 12:44:05	1	2	1	1	1			"{""solution"":""I AM BEAUTIFUL!!!!!!!"",""project_id"":1,""session_id"":1,""feedback"":""Hate you guys."",""user_id"":1}"
2		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	1		group	2016-08-14 12:44:08	2	3	1	1	1			"{""solution"":""I AM BEAUTIFUL!!!!!!!"",""project_id"":1,""session_id"":1,""feedback"":""Hate you guys."",""user_id"":1}"
3		"{""field"":""eth_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	2		group	2016-08-15 09:40:42	4	5	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
4		"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	2		group	2016-08-15 13:13:54	4	6	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
5		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	2		group	2016-08-15 13:14:10	4	7	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
6		"{""field"":""info_line"",""term"":""reply"",""condition"":16}"	2		filter	2016-08-15 13:15:13	7	8	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
8		"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	2		filter	2016-08-15 13:16:34	7	10	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
10		"{""field"":""highest_layer"",""term"":""SMB"",""condition"":512}"	2		filter	2016-08-15 13:17:24	7	12	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
12		"{""field"":""tcp_dstport"",""term"":""443"",""condition"":8}"	2		filter	2016-08-15 13:17:47	12	14	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
13		"{""field"":""tcp_dstport"",""term"":""445"",""condition"":8}"	2		filter	2016-08-15 13:18:11	12	15	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
14		"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":8}"	2		filter	2016-08-15 13:23:04	4	16	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
15		"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	2		group	2016-08-15 13:25:19	4	17	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
16		"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	2		group	2016-08-15 13:27:26	4	18	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"
49		"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	7		group	2016-08-22 14:54:45	55	56	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
50		"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	7		group	2016-08-22 14:54:53	56	57	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
51		"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":2}"	7		group	2016-08-22 14:55:13	57	58	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
52		"{""field"":""tcp_dstport"",""aggregations"":[],""groupPriority"":3}"	7		group	2016-08-22 14:55:35	58	59	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
53		"{""field"":""ip_dst"",""aggregations"":[],""groupPriority"":2}"	7		group	2016-08-22 15:00:05	57	60	7	9	1			"{""solution"":""icmp scan -> 139/445 smb scan"",""project_id"":1,""session_id"":7,""feedback"":"""",""user_id"":9}"
