	creation_time	session_id	project_id	action_id	action_params	parent_display_id	child_display_id
0	2016-08-14 12:44:05	1	1	1	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	1	2
1	2016-08-14 12:44:08	1	1	2	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	2	3
2	2016-08-15 09:40:42	2	1	3	"{""field"":""eth_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	5
3	2016-08-15 13:13:54	2	1	4	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	6
4	2016-08-15 13:14:10	2	1	5	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":0}"	4	7
5	2016-08-15 13:15:13	2	1	6	"{""field"":""info_line"",""term"":""reply"",""condition"":16}"	7	8
6	2016-08-15 13:16:34	2	1	8	"{""field"":""highest_layer"",""term"":""ICMP"",""condition"":512}"	7	10
7	2016-08-15 13:17:24	2	1	10	"{""field"":""highest_layer"",""term"":""SMB"",""condition"":512}"	7	12
8	2016-08-15 13:17:47	2	1	12	"{""field"":""tcp_dstport"",""term"":""443"",""condition"":8}"	12	14
9	2016-08-15 13:18:11	2	1	13	"{""field"":""tcp_dstport"",""term"":""445"",""condition"":8}"	12	15
10	2016-08-15 13:23:04	2	1	14	"{""field"":""ip_dst"",""term"":""192.168.1.122"",""condition"":8}"	4	16
11	2016-08-15 13:25:19	2	1	15	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""avg""}],""groupPriority"":0}"	4	17
12	2016-08-15 13:27:26	2	1	16	"{""field"":""ip_src"",""aggregations"":[{""field"":""length"",""type"":""sum""}],""groupPriority"":0}"	4	18
13	2016-08-22 14:54:45	7	1	49	"{""field"":""eth_src"",""aggregations"":[],""groupPriority"":0}"	55	56
14	2016-08-22 14:54:53	7	1	50	"{""field"":""ip_src"",""aggregations"":[],""groupPriority"":1}"	56	57
15	2016-08-22 14:55:13	7	1	51	"{""field"":""highest_layer"",""aggregations"":[],""groupPriority"":2}"	57	58
