STATE_INPUT_SIZE,HIDDEN_LAYERS,HIDDEN_SIZE,GAMMA,AVERAGE_REWARD_1000,AVERAGE_REWARD_10000,AVERAGE_REWARD_1500,AVERAGE_REWARD_2000,AVERAGE_REWARD_2500,AVERAGE_REWARD_3000,AVERAGE_REWARD_3500,AVERAGE_REWARD_4000,AVERAGE_REWARD_4500,AVERAGE_REWARD_500,AVERAGE_REWARD_5000,AVERAGE_REWARD_5500,AVERAGE_REWARD_6000,AVERAGE_REWARD_6500,AVERAGE_REWARD_7000,AVERAGE_REWARD_7500,AVERAGE_REWARD_8000,AVERAGE_REWARD_8500,AVERAGE_REWARD_9000,AVERAGE_REWARD_9500
4,1.0,5,0.99,1.839,2.216,2.072,2.122,2.224,2.263,2.093,2.225,2.1710000000000003,1.452,2.238,2.1710000000000003,2.1790000000000003,2.213,2.175,2.256,2.175,2.241,2.222,2.248
4,1.0,10,0.99,2.037,2.28,2.09,2.143,2.093,2.202,2.1799999999999997,2.2110000000000003,2.214,1.635,2.1959999999999997,2.2,2.2560000000000002,2.2030000000000003,2.173,2.21,2.1580000000000004,2.27,2.242,2.178
4,1.0,20,0.99,2.201,2.207,2.2,2.1390000000000002,2.161,2.18,2.201,2.165,2.223,1.623,2.234,2.221,2.294,2.183,2.239,2.191,2.208,2.199,2.224,2.2199999999999998
4,2.0,5,0.99,1.811,2.232,1.9700000000000002,2.083,2.045,2.125,2.178,2.1630000000000003,2.207,1.296,2.255,2.165,2.141,2.198,2.25,2.1950000000000003,2.222,2.169,2.263,2.148
4,2.0,10,0.99,2.15,2.2809999999999997,2.1310000000000002,2.242,2.252,2.274,2.247,2.255,2.247,1.593,2.284,2.2479999999999998,2.258,2.23,2.273,2.264,2.3049999999999997,2.2910000000000004,2.2439999999999998,2.255
4,2.0,20,0.99,2.099,2.229,2.191,2.1550000000000002,2.19,2.186,2.285,2.221,2.209,1.916,2.2030000000000003,2.2590000000000003,2.2119999999999997,2.22,2.269,2.191,2.2270000000000003,2.218,2.1870000000000003,2.236
5,1.0,5,0.99,1.692,1.786,1.801,1.812,1.7879999999999998,1.6600000000000001,1.7039999999999997,1.692,1.7429999999999999,1.487,1.7570000000000001,1.7559999999999998,1.725,1.709,1.6769999999999998,1.7850000000000001,1.79,1.7409999999999999,1.791,1.821
5,1.0,10,0.99,2.259,2.544,2.452,2.5309999999999997,2.428,2.487,2.4829999999999997,2.433,2.5599999999999996,1.616,2.4670000000000005,2.4770000000000003,2.489,2.465,2.508,2.49,2.522,2.5069999999999997,2.489,2.473
5,1.0,20,0.99,1.9410000000000003,1.136,1.842,1.8519999999999999,1.857,1.8890000000000002,1.7710000000000001,1.158,1.1740000000000002,1.746,1.128,1.112,1.172,1.166,1.136,1.17,1.102,1.22,1.204,1.208
5,2.0,5,0.99,1.855,2.476,2.1,2.207,2.243,2.387,2.395,2.307,2.362,1.487,2.385,2.42,2.3890000000000002,2.401,2.408,2.447,2.493,2.491,2.503,2.443
5,2.0,10,0.99,2.318,2.489,2.391,2.4739999999999998,2.442,2.455,2.449,2.418,2.511,1.814,2.485,2.496,2.511,2.439,2.468,2.548,2.517,2.4379999999999997,2.584,2.522
5,2.0,20,0.99,2.459,2.492,2.382,2.493,2.489,2.492,2.468,2.5070000000000006,2.412,2.16,2.5180000000000002,2.472,2.5010000000000003,2.508,2.578,2.5010000000000003,2.5149999999999997,2.5069999999999997,2.4939999999999998,2.5300000000000002
