,AVERAGE_REWARD_1000,AVERAGE_REWARD_10000,AVERAGE_REWARD_1500,AVERAGE_REWARD_2000,AVERAGE_REWARD_2500,AVERAGE_REWARD_3000,AVERAGE_REWARD_3500,AVERAGE_REWARD_4000,AVERAGE_REWARD_4500,AVERAGE_REWARD_500,AVERAGE_REWARD_5000,AVERAGE_REWARD_5500,AVERAGE_REWARD_6000,AVERAGE_REWARD_6500,AVERAGE_REWARD_7000,AVERAGE_REWARD_7500,AVERAGE_REWARD_8000,AVERAGE_REWARD_8500,AVERAGE_REWARD_9000,AVERAGE_REWARD_9500,B1,B2,BATCH_NUMBER,DISPLAY_FREQ,ENV,EPSILON,GAMMA,HIDDEN_LAYERS,HIDDEN_SIZE,LEARNING_RATE,MAX_STEPS,OP_NUMBER,START_STATE_FROM,STATE_INPUT_SIZE,TOTAL_EPISODES
0,2.386,2.486,2.372,2.322,2.366,2.422,2.406,2.346,2.518,2.396,2.322,2.462,2.374,2.458,2.386,2.538,2.532,2.41,2.478,2.354,0.8,0.999,20,500,IANNA-v0,1e-06,0.0,2,10,0.01,10,10,-15,10,10000
1,2.296,2.338,2.364,2.346,2.346,2.288,2.418,2.446,2.31,2.324,2.294,2.366,2.412,2.278,2.258,2.348,2.332,2.384,2.302,2.148,0.8,0.999,20,500,IANNA-v0,1e-06,0.0,2,10,0.01,10,10,-15,10,10000
2,2.516,2.978,2.87,2.83,2.744,2.992,2.886,2.958,3.068,2.198,2.872,2.636,2.886,2.848,2.826,2.956,2.918,2.92,2.838,2.79,0.8,0.999,20,500,IANNA-v0,1e-06,0.1,2,10,0.01,10,10,-15,10,10000
3,2.698,2.772,2.596,2.55,3.016,2.846,2.95,2.91,2.866,2.398,3.14,3.002,2.974,3.064,2.908,2.786,2.818,2.896,3.016,2.924,0.8,0.999,20,500,IANNA-v0,1e-06,0.1,2,10,0.01,10,10,-15,10,10000
4,1.866,2.894,2.35,2.586,2.814,2.876,3.02,2.922,3.014,2.57,2.804,2.882,3.06,3.142,2.88,2.96,2.902,3.148,2.886,3.042,0.8,0.999,20,500,IANNA-v0,1e-06,0.2,2,10,0.01,10,10,-15,10,10000
5,2.276,2.756,2.632,2.758,2.912,2.708,3.086,2.742,2.872,2.604,3.046,2.974,2.852,2.954,2.896,2.934,2.946,3.106,2.986,2.892,0.8,0.999,20,500,IANNA-v0,1e-06,0.2,2,10,0.01,10,10,-15,10,10000
6,2.69,2.92,2.868,2.858,2.788,2.878,2.91,2.978,2.898,2.338,2.94,2.998,2.886,2.974,2.916,3.018,2.958,2.904,3.014,2.94,0.8,0.999,20,500,IANNA-v0,1e-06,0.30000000000000004,2,10,0.01,10,10,-15,10,10000
7,2.672,3.078,2.908,2.766,3.064,2.988,2.92,3.004,2.964,2.392,2.644,2.958,2.918,3.018,2.962,3.078,2.878,2.98,2.988,3.008,0.8,0.999,20,500,IANNA-v0,1e-06,0.30000000000000004,2,10,0.01,10,10,-15,10,10000
8,2.57,3.098,2.808,2.734,2.884,3.018,2.9,3.076,2.886,2.432,2.824,2.948,2.992,2.946,2.966,2.868,3.258,3.138,3.034,2.9,0.8,0.999,20,500,IANNA-v0,1e-06,0.4,2,10,0.01,10,10,-15,10,10000
9,2.75,2.998,2.768,2.958,2.858,2.932,2.712,2.942,3.066,2.55,2.95,2.89,2.988,2.966,3.19,3.032,2.888,2.966,3.172,3.11,0.8,0.999,20,500,IANNA-v0,1e-06,0.4,2,10,0.01,10,10,-15,10,10000
