,AVERAGE_REWARD_1000,AVERAGE_REWARD_1500,AVERAGE_REWARD_2000,AVERAGE_REWARD_2500,AVERAGE_REWARD_3000,AVERAGE_REWARD_3500,AVERAGE_REWARD_4000,AVERAGE_REWARD_4500,AVERAGE_REWARD_500,AVERAGE_REWARD_5000,B1,B2,BATCH_NUMBER,DISPLAY_FREQ,ENV,EPSILON,GAMMA,HIDDEN_SIZE,LEARNING_RATE,MAX_STEPS,OP_NUMBER,START_STATE_FROM,STATE_INPUT_SIZE,TOTAL_EPISODES
0,2.008,2.032,2.016,2.128,2.04,2.048,2.156,1.996,1.868,2.128,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,4,4,-15,4,5000
1,2.004,1.924,2.048,2.024,2.052,2.104,1.972,2.112,1.776,2.152,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,4,4,-15,4,5000
2,1.956,2.004,2.064,2.128,1.984,2.06,2.12,2.084,1.676,2.156,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,4,4,-15,4,5000
3,2.152,2.316,2.24,2.192,2.132,2.316,2.284,2.312,1.956,2.348,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,5,5,-15,5,5000
4,2.208,2.28,2.204,2.24,2.344,2.284,2.336,2.3,1.948,2.352,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,5,5,-15,5,5000
5,2.196,2.336,2.332,2.212,2.28,2.448,2.292,2.232,1.844,2.42,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,5,5,-15,5,5000
6,2.492,2.524,2.532,2.468,2.528,2.4,2.592,2.636,2.256,2.428,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,6,6,-15,6,5000
7,2.444,2.592,2.548,2.544,2.588,2.384,2.64,2.616,2.012,2.548,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,6,6,-15,6,5000
8,2.496,2.308,2.508,2.54,2.524,2.48,2.544,2.52,2.208,2.528,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,6,6,-15,6,5000
9,2.712,2.82,2.644,2.632,2.82,2.684,2.888,2.772,2.54,2.912,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,7,7,-15,7,5000
10,2.788,2.664,2.796,2.86,2.872,2.752,2.792,2.736,2.636,2.872,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,7,7,-15,7,5000
11,2.74,2.756,2.788,2.784,2.796,2.848,2.828,2.864,2.416,2.84,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,7,7,-15,7,5000
12,3.004,2.908,3.036,2.964,3.108,3.168,3.124,3.18,2.708,2.972,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,8,8,-15,8,5000
13,2.932,3.088,3.08,2.976,3.196,3.08,3.108,3.128,2.812,3.156,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,8,8,-15,8,5000
14,2.828,3.04,3.2,3.0,3.084,3.06,3.088,3.076,2.544,3.212,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,8,8,-15,8,5000
15,3.32,3.132,3.46,3.152,3.296,3.364,3.36,3.224,2.804,3.264,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,9,9,-15,9,5000
16,3.48,3.24,3.288,3.396,3.436,3.28,3.252,3.388,2.828,3.296,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,9,9,-15,9,5000
17,3.388,3.336,3.332,3.348,3.364,3.224,3.28,3.464,2.832,3.356,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,9,9,-15,9,5000
18,3.96,3.568,3.636,3.452,3.8,3.508,3.476,3.616,2.412,3.636,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,10,10,-15,10,5000
19,3.452,3.548,3.54,3.492,3.572,3.552,3.68,3.4,3.072,3.532,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,10,10,-15,10,5000
20,3.564,3.336,3.564,3.44,3.592,3.528,3.644,3.732,2.704,3.608,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,10,10,-15,10,5000
21,3.768,3.88,3.712,3.732,3.844,3.928,3.764,3.86,3.144,3.792,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,11,11,-15,11,5000
22,3.708,3.704,3.736,3.8,3.764,3.856,4.048,3.972,3.188,3.9,0.8,0.999,20,500,IANNA-v0,1e-06,0.99,20,0.01,11,11,-15,11,5000
